"Start","End","Location","Place"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Toilet","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Bed","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Microwave","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Shower","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Cupboard","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Toilet","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Microwave","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Bed","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Microwave","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Basin","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Shower","Bathroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Toilet","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Microwave","Kitchen"
NA,NA,"Microwave","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Microwave","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Cupboard","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Bed","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Cupboard","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Toilet","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Bed","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Basin","Bathroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Cupboard","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Bed","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Bed","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Cupboard","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Kitchen"
NA,NA,"Cupboard","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Cupboard","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Bed","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Basin","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Bed","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Shower","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Toilet","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Bed","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Toilet","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Bed","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Bed","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
