"Location","Type","Place","Duration","Day","obj"
"Door","PIR","Living",0.05,"Thu","Living Door"
"Door","PIR","Living",0.083,"Thu","Living Door"
"Door","PIR","Kitchen",0.033,"Thu","Kitchen Door"
"Fridge","Magnetic","Kitchen",0.05,"Thu","Kitchen Fridge"
"Door","PIR","Kitchen",0.05,"Thu","Kitchen Door"
"Door","PIR","Living",0.05,"Thu","Living Door"
"Door","PIR","Living",0.033,"Thu","Living Door"
"Door","PIR","Kitchen",0.05,"Thu","Kitchen Door"
"Fridge","Magnetic","Kitchen",0.083,"Thu","Kitchen Fridge"
"Door","PIR","Kitchen",0.05,"Thu","Kitchen Door"
"Door","PIR","Living",0.033,"Thu","Living Door"
"Door","PIR","Living",0.067,"Thu","Living Door"
"Toilet","Flush","Bathroom",1.217,"Thu","Bathroom Toilet"
"Basin","PIR","Bathroom",1.017,"Thu","Bathroom Basin"
"Door","PIR","Living",0.067,"Thu","Living Door"
"Door","PIR","Living",0.067,"Thu","Living Door"
"Maindoor","Magnetic","Entrance",0.183,"Thu","Entrance Maindoor"
"Maindoor","Magnetic","Entrance",0.117,"Thu","Entrance Maindoor"
"Door","PIR","Living",0.033,"Thu","Living Door"
"Door","PIR","Living",0.05,"Thu","Living Door"
"Door","PIR","Kitchen",0.033,"Thu","Kitchen Door"
"Door","PIR","Kitchen",0.067,"Thu","Kitchen Door"
"Door","PIR","Living",0.067,"Thu","Living Door"
"Door","PIR","Living",0.033,"Thu","Living Door"
"Door","PIR","Kitchen",0.05,"Thu","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Thu","Kitchen Door"
"Door","PIR","Living",0.05,"Thu","Living Door"
"Door","PIR","Living",0.033,"Thu","Living Door"
"Door","PIR","Kitchen",0.033,"Thu","Kitchen Door"
"Microwave","Electric","Kitchen",4.017,"Thu","Kitchen Microwave"
"Cupboard","Magnetic","Kitchen",0.167,"Thu","Kitchen Cupboard"
"Door","PIR","Kitchen",0.067,"Thu","Kitchen Door"
"Door","PIR","Living",0.05,"Thu","Living Door"
"Door","PIR","Living",0.067,"Fri","Living Door"
"Door","PIR","Kitchen",0.05,"Fri","Kitchen Door"
"Door","PIR","Kitchen",0.05,"Fri","Kitchen Door"
"Door","PIR","Living",0.083,"Fri","Living Door"
"Door","PIR","Living",0.05,"Fri","Living Door"
"Basin","PIR","Bathroom",2.883,"Fri","Bathroom Basin"
"Toilet","Flush","Bathroom",0.717,"Fri","Bathroom Toilet"
"Basin","PIR","Bathroom",0.117,"Fri","Bathroom Basin"
"Door","PIR","Living",0.033,"Fri","Living Door"
"Door","PIR","Living",0.05,"Fri","Living Door"
"Door","PIR","Bedroom",0.033,"Fri","Bedroom Door"
"Bed","Pressure","Bedroom",577.35,"Fri","Bedroom Bed"
"Door","PIR","Bedroom",0.05,"Fri","Bedroom Door"
"Door","PIR","Living",0.05,"Fri","Living Door"
"Door","PIR","Living",0.05,"Fri","Living Door"
"Door","PIR","Kitchen",0.067,"Fri","Kitchen Door"
"Fridge","Magnetic","Kitchen",0.033,"Fri","Kitchen Fridge"
"Microwave","Electric","Kitchen",0.9,"Fri","Kitchen Microwave"
"Door","PIR","Kitchen",0.033,"Fri","Kitchen Door"
"Shower","PIR","Bathroom",3.167,"Fri","Bathroom Shower"
"Basin","PIR","Bathroom",3.217,"Fri","Bathroom Basin"
"Basin","PIR","Bathroom",1.85,"Fri","Bathroom Basin"
"Door","PIR","Bedroom",0.067,"Fri","Bedroom Door"
"Door","PIR","Bedroom",0.1,"Fri","Bedroom Door"
"Basin","PIR","Bathroom",7.7,"Fri","Bathroom Basin"
"Door","PIR","Living",0.05,"Fri","Living Door"
"Door","PIR","Living",0.033,"Fri","Living Door"
"Door","PIR","Kitchen",0.017,"Fri","Kitchen Door"
"Fridge","Magnetic","Kitchen",0.1,"Fri","Kitchen Fridge"
"Door","PIR","Kitchen",0.033,"Fri","Kitchen Door"
"Maindoor","Magnetic","Entrance",0.1,"Fri","Entrance Maindoor"
"Maindoor","Magnetic","Entrance",0.1,"Fri","Entrance Maindoor"
"Door","PIR","Bedroom",0.067,"Fri","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Fri","Bedroom Door"
"Door","PIR","Living",0.05,"Fri","Living Door"
"Seat","Pressure","Living",53.967,"Fri","Living Seat"
"Door","PIR","Living",0.067,"Fri","Living Door"
"Door","PIR","Kitchen",0.067,"Fri","Kitchen Door"
"Door","PIR","Kitchen",0.067,"Fri","Kitchen Door"
"Door","PIR","Living",0.083,"Fri","Living Door"
"Door","PIR","Living",0.083,"Fri","Living Door"
"Door","PIR","Kitchen",0.05,"Fri","Kitchen Door"
"Cupboard","Magnetic","Kitchen",0.117,"Fri","Kitchen Cupboard"
"Door","PIR","Kitchen",0.067,"Fri","Kitchen Door"
"Door","PIR","Living",0.05,"Fri","Living Door"
"Door","PIR","Living",0.05,"Fri","Living Door"
"Door","PIR","Kitchen",0.05,"Fri","Kitchen Door"
"Door","PIR","Kitchen",0.05,"Fri","Kitchen Door"
"Door","PIR","Living",0.067,"Fri","Living Door"
"Door","PIR","Living",0.05,"Fri","Living Door"
"Door","PIR","Kitchen",0.05,"Fri","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Fri","Kitchen Door"
"Door","PIR","Living",0.05,"Fri","Living Door"
"Door","PIR","Living",0.05,"Fri","Living Door"
"Door","PIR","Kitchen",0.433,"Fri","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Fri","Kitchen Door"
"Toilet","Flush","Bathroom",1.467,"Fri","Bathroom Toilet"
"Door","PIR","Bedroom",0.233,"Fri","Bedroom Door"
"Door","PIR","Bedroom",0.233,"Fri","Bedroom Door"
"Door","PIR","Living",0.067,"Fri","Living Door"
"Door","PIR","Living",0.033,"Fri","Living Door"
"Maindoor","Magnetic","Entrance",0.117,"Fri","Entrance Maindoor"
"Maindoor","Magnetic","Entrance",0.083,"Fri","Entrance Maindoor"
"Door","PIR","Living",0.067,"Fri","Living Door"
"Door","PIR","Living",0.05,"Fri","Living Door"
"Toilet","Flush","Bathroom",0.95,"Fri","Bathroom Toilet"
"Door","PIR","Living",0.05,"Fri","Living Door"
"Door","PIR","Living",0.05,"Fri","Living Door"
"Door","PIR","Kitchen",0.083,"Fri","Kitchen Door"
"Microwave","Electric","Kitchen",1.667,"Fri","Kitchen Microwave"
"Fridge","Magnetic","Kitchen",0.183,"Fri","Kitchen Fridge"
"Door","PIR","Kitchen",0.05,"Fri","Kitchen Door"
"Door","PIR","Living",0.05,"Fri","Living Door"
"Seat","Pressure","Living",118.8,"Fri","Living Seat"
"Door","PIR","Living",0.05,"Fri","Living Door"
"Door","PIR","Kitchen",0.133,"Fri","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Fri","Kitchen Door"
"Door","PIR","Living",0.067,"Fri","Living Door"
"Seat","Pressure","Living",8.6,"Fri","Living Seat"
"Door","PIR","Living",0.05,"Fri","Living Door"
"Door","PIR","Kitchen",0.067,"Fri","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Fri","Kitchen Door"
"Door","PIR","Living",0.05,"Fri","Living Door"
"Seat","Pressure","Living",62.783,"Fri","Living Seat"
"Door","PIR","Living",0.083,"Fri","Living Door"
"Door","PIR","Living",0.05,"Fri","Living Door"
"Door","PIR","Living",0.033,"Fri","Living Door"
"Basin","PIR","Bathroom",0.433,"Fri","Bathroom Basin"
"Door","PIR","Living",0.05,"Fri","Living Door"
"Door","PIR","Living",0.033,"Fri","Living Door"
"Maindoor","Magnetic","Entrance",0.183,"Fri","Entrance Maindoor"
"Maindoor","Magnetic","Entrance",0.1,"Sat","Entrance Maindoor"
"Door","PIR","Bedroom",0.15,"Sat","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Sat","Bedroom Door"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Door","PIR","Living",0.033,"Sat","Living Door"
"Basin","PIR","Bathroom",3.117,"Sat","Bathroom Basin"
"Toilet","Flush","Bathroom",0.917,"Sat","Bathroom Toilet"
"Basin","PIR","Bathroom",2.433,"Sat","Bathroom Basin"
"Door","PIR","Bedroom",0.067,"Sat","Bedroom Door"
"Bed","Pressure","Bedroom",429.35,"Sat","Bedroom Bed"
"Door","PIR","Bedroom",0.083,"Sat","Bedroom Door"
"Toilet","Flush","Bathroom",1.083,"Sat","Bathroom Toilet"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Door","PIR","Kitchen",0.067,"Sat","Kitchen Door"
"Fridge","Magnetic","Kitchen",0.1,"Sat","Kitchen Fridge"
"Fridge","Magnetic","Kitchen",0.05,"Sat","Kitchen Fridge"
"Microwave","Electric","Kitchen",1.5,"Sat","Kitchen Microwave"
"Door","PIR","Kitchen",0.067,"Sat","Kitchen Door"
"Door","PIR","Bedroom",0.05,"Sat","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Sat","Bedroom Door"
"Shower","PIR","Bathroom",3.017,"Sat","Bathroom Shower"
"Basin","PIR","Bathroom",4.083,"Sat","Bathroom Basin"
"Basin","PIR","Bathroom",5.167,"Sat","Bathroom Basin"
"Door","PIR","Bedroom",0.067,"Sat","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Sat","Bedroom Door"
"Basin","PIR","Bathroom",3.283,"Sat","Bathroom Basin"
"Door","PIR","Bedroom",0.05,"Sat","Bedroom Door"
"Door","PIR","Bedroom",0.05,"Sat","Bedroom Door"
"Maindoor","Magnetic","Entrance",0.133,"Sat","Entrance Maindoor"
"Maindoor","Magnetic","Entrance",0.117,"Sat","Entrance Maindoor"
"Door","PIR","Living",0.3,"Sat","Living Door"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Door","PIR","Bedroom",0.067,"Sat","Bedroom Door"
"Door","PIR","Bedroom",0.067,"Sat","Bedroom Door"
"Door","PIR","Bedroom",0.067,"Sat","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Sat","Bedroom Door"
"Basin","PIR","Bathroom",7.833,"Sat","Bathroom Basin"
"Door","PIR","Bedroom",0.167,"Sat","Bedroom Door"
"Door","PIR","Bedroom",0.067,"Sat","Bedroom Door"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Seat","Pressure","Living",81.3,"Sat","Living Seat"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Door","PIR","Kitchen",0.083,"Sat","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Sat","Kitchen Door"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Seat","Pressure","Living",20.95,"Sat","Living Seat"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Door","PIR","Living",0.1,"Sat","Living Door"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Door","PIR","Bedroom",0.817,"Sat","Bedroom Door"
"Door","PIR","Bedroom",0.65,"Sat","Bedroom Door"
"Maindoor","Magnetic","Entrance",0.05,"Sat","Entrance Maindoor"
"Maindoor","Magnetic","Entrance",0.083,"Sat","Entrance Maindoor"
"Door","PIR","Bedroom",0.05,"Sat","Bedroom Door"
"Door","PIR","Bedroom",0.217,"Sat","Bedroom Door"
"Toilet","Flush","Bathroom",0.933,"Sat","Bathroom Toilet"
"Basin","PIR","Bathroom",0.15,"Sat","Bathroom Basin"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Door","PIR","Kitchen",0.05,"Sat","Kitchen Door"
"Door","PIR","Kitchen",0.05,"Sat","Kitchen Door"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Seat","Pressure","Living",54.333,"Sat","Living Seat"
"Door","PIR","Living",0.033,"Sat","Living Door"
"Door","PIR","Kitchen",0.05,"Sat","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Sat","Kitchen Door"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Door","PIR","Living",0.067,"Sat","Living Door"
"Door","PIR","Bedroom",0.067,"Sat","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Sat","Bedroom Door"
"Door","PIR","Living",0.067,"Sat","Living Door"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Door","PIR","Living",0.067,"Sat","Living Door"
"Door","PIR","Kitchen",0.033,"Sat","Kitchen Door"
"Door","PIR","Kitchen",0.15,"Sat","Kitchen Door"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Seat","Pressure","Living",35.333,"Sat","Living Seat"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Door","PIR","Kitchen",0.05,"Sat","Kitchen Door"
"Door","PIR","Kitchen",0.05,"Sat","Kitchen Door"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Seat","Pressure","Living",42.667,"Sat","Living Seat"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Door","PIR","Kitchen",0.15,"Sat","Kitchen Door"
"Microwave","Electric","Kitchen",0.783,"Sat","Kitchen Microwave"
"Door","PIR","Kitchen",0.117,"Sat","Kitchen Door"
"Door","PIR","Living",0.067,"Sat","Living Door"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Door","PIR","Kitchen",0.067,"Sat","Kitchen Door"
"Microwave","Electric","Kitchen",0.117,"Sat","Kitchen Microwave"
"Door","PIR","Kitchen",0.1,"Sat","Kitchen Door"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Door","PIR","Bedroom",0.067,"Sat","Bedroom Door"
"Door","PIR","Bedroom",0.083,"Sat","Bedroom Door"
"Door","PIR","Living",0.017,"Sat","Living Door"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Toilet","Flush","Bathroom",1.15,"Sat","Bathroom Toilet"
"Basin","PIR","Bathroom",0.467,"Sat","Bathroom Basin"
"Door","PIR","Bedroom",0.017,"Sat","Bedroom Door"
"Door","PIR","Bedroom",0.067,"Sat","Bedroom Door"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Door","PIR","Living",0.067,"Sat","Living Door"
"Door","PIR","Bedroom",0.067,"Sat","Bedroom Door"
"Door","PIR","Bedroom",0.067,"Sat","Bedroom Door"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Basin","PIR","Bathroom",1.017,"Sat","Bathroom Basin"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Door","PIR","Living",0.05,"Sat","Living Door"
"Maindoor","Magnetic","Entrance",0.15,"Sat","Entrance Maindoor"
"Maindoor","Magnetic","Entrance",0.05,"Sun","Entrance Maindoor"
"Door","PIR","Bedroom",0.167,"Sun","Bedroom Door"
"Door","PIR","Bedroom",0.067,"Sun","Bedroom Door"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Seat","Pressure","Living",53,"Sun","Living Seat"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Door","PIR","Bedroom",0.117,"Sun","Bedroom Door"
"Bed","Pressure","Bedroom",436.25,"Sun","Bedroom Bed"
"Door","PIR","Bedroom",0.067,"Sun","Bedroom Door"
"Door","PIR","Living",0.067,"Sun","Living Door"
"Door","PIR","Living",0.1,"Sun","Living Door"
"Door","PIR","Kitchen",0.05,"Sun","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Sun","Kitchen Door"
"Toilet","Flush","Bathroom",1.033,"Sun","Bathroom Toilet"
"Door","PIR","Kitchen",0.05,"Sun","Kitchen Door"
"Fridge","Magnetic","Kitchen",0.083,"Sun","Kitchen Fridge"
"Microwave","Electric","Kitchen",1.55,"Sun","Kitchen Microwave"
"Fridge","Magnetic","Kitchen",0.033,"Sun","Kitchen Fridge"
"Door","PIR","Kitchen",0.033,"Sun","Kitchen Door"
"Door","PIR","Bedroom",0.05,"Sun","Bedroom Door"
"Door","PIR","Bedroom",0.067,"Sun","Bedroom Door"
"Door","PIR","Kitchen",0.033,"Sun","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Sun","Kitchen Door"
"Shower","PIR","Bathroom",7.617,"Sun","Bathroom Shower"
"Basin","PIR","Bathroom",9.467,"Sun","Bathroom Basin"
"Basin","PIR","Bathroom",3.617,"Sun","Bathroom Basin"
"Door","PIR","Bedroom",0.033,"Sun","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Sun","Bedroom Door"
"Maindoor","Magnetic","Entrance",0.05,"Sun","Entrance Maindoor"
"Maindoor","Magnetic","Entrance",0.083,"Sun","Entrance Maindoor"
"Door","PIR","Bedroom",0.05,"Sun","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Sun","Bedroom Door"
"Door","PIR","Kitchen",0.05,"Sun","Kitchen Door"
"Door","PIR","Kitchen",0.05,"Sun","Kitchen Door"
"Door","PIR","Bedroom",0.05,"Sun","Bedroom Door"
"Door","PIR","Bedroom",0.05,"Sun","Bedroom Door"
"Door","PIR","Living",0.033,"Sun","Living Door"
"Door","PIR","Living",0.067,"Sun","Living Door"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Seat","Pressure","Living",11.4,"Sun","Living Seat"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Maindoor","Magnetic","Entrance",0.033,"Sun","Entrance Maindoor"
"Maindoor","Magnetic","Entrance",0.067,"Sun","Entrance Maindoor"
"Door","PIR","Living",0.033,"Sun","Living Door"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Door","PIR","Kitchen",0.05,"Sun","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Sun","Kitchen Door"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Door","PIR","Kitchen",0.05,"Sun","Kitchen Door"
"Cupboard","Magnetic","Kitchen",0.167,"Sun","Kitchen Cupboard"
"Door","PIR","Kitchen",0.067,"Sun","Kitchen Door"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Door","PIR","Kitchen",0.1,"Sun","Kitchen Door"
"Door","PIR","Kitchen",0.05,"Sun","Kitchen Door"
"Door","PIR","Living",0.067,"Sun","Living Door"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Door","PIR","Kitchen",0.067,"Sun","Kitchen Door"
"Door","PIR","Kitchen",0.017,"Sun","Kitchen Door"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Door","PIR","Living",0.083,"Sun","Living Door"
"Door","PIR","Kitchen",0.067,"Sun","Kitchen Door"
"Door","PIR","Kitchen",0.1,"Sun","Kitchen Door"
"Door","PIR","Living",0.067,"Sun","Living Door"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Door","PIR","Kitchen",0.05,"Sun","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Sun","Kitchen Door"
"Toilet","Flush","Bathroom",1.083,"Sun","Bathroom Toilet"
"Basin","PIR","Bathroom",4.583,"Sun","Bathroom Basin"
"Door","PIR","Living",0.033,"Sun","Living Door"
"Door","PIR","Living",0.033,"Sun","Living Door"
"Basin","PIR","Bathroom",0.767,"Sun","Bathroom Basin"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Seat","Pressure","Living",37.75,"Sun","Living Seat"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Door","PIR","Kitchen",0.033,"Sun","Kitchen Door"
"Door","PIR","Kitchen",0.067,"Sun","Kitchen Door"
"Door","PIR","Living",0.1,"Sun","Living Door"
"Door","PIR","Living",0.033,"Sun","Living Door"
"Door","PIR","Kitchen",0.067,"Sun","Kitchen Door"
"Door","PIR","Kitchen",0.117,"Sun","Kitchen Door"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Seat","Pressure","Living",14.833,"Sun","Living Seat"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Door","PIR","Living",0.067,"Sun","Living Door"
"Seat","Pressure","Living",45.55,"Sun","Living Seat"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Door","PIR","Kitchen",0.117,"Sun","Kitchen Door"
"Door","PIR","Kitchen",0.1,"Sun","Kitchen Door"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Door","PIR","Living",0.033,"Sun","Living Door"
"Maindoor","Magnetic","Entrance",0.133,"Sun","Entrance Maindoor"
"Maindoor","Magnetic","Entrance",0.117,"Sun","Entrance Maindoor"
"Door","PIR","Kitchen",0.033,"Sun","Kitchen Door"
"Fridge","Magnetic","Kitchen",0.1,"Sun","Kitchen Fridge"
"Fridge","Magnetic","Kitchen",0.067,"Sun","Kitchen Fridge"
"Door","PIR","Kitchen",0.033,"Sun","Kitchen Door"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Door","PIR","Bedroom",0.15,"Sun","Bedroom Door"
"Door","PIR","Bedroom",0.05,"Sun","Bedroom Door"
"Basin","PIR","Bathroom",3.983,"Sun","Bathroom Basin"
"Basin","PIR","Bathroom",2.083,"Sun","Bathroom Basin"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Door","PIR","Kitchen",0.1,"Sun","Kitchen Door"
"Microwave","Electric","Kitchen",3.817,"Sun","Kitchen Microwave"
"Door","PIR","Kitchen",0.067,"Sun","Kitchen Door"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Door","PIR","Living",0.033,"Sun","Living Door"
"Basin","PIR","Bathroom",0.033,"Sun","Bathroom Basin"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Door","PIR","Kitchen",0.033,"Sun","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Sun","Kitchen Door"
"Door","PIR","Living",0.05,"Sun","Living Door"
"Seat","Pressure","Living",60.767,"Sun","Living Seat"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Kitchen",0.083,"Mon","Kitchen Door"
"Door","PIR","Kitchen",0.05,"Mon","Kitchen Door"
"Toilet","Flush","Bathroom",0.683,"Mon","Bathroom Toilet"
"Door","PIR","Bedroom",0.067,"Mon","Bedroom Door"
"Bed","Pressure","Bedroom",593.567,"Mon","Bedroom Bed"
"Door","PIR","Bedroom",0.117,"Mon","Bedroom Door"
"Toilet","Flush","Bathroom",1.167,"Mon","Bathroom Toilet"
"Door","PIR","Kitchen",0.067,"Mon","Kitchen Door"
"Fridge","Magnetic","Kitchen",0.067,"Mon","Kitchen Fridge"
"Fridge","Magnetic","Kitchen",0.067,"Mon","Kitchen Fridge"
"Microwave","Electric","Kitchen",2.35,"Mon","Kitchen Microwave"
"Fridge","Magnetic","Kitchen",0.3,"Mon","Kitchen Fridge"
"Door","PIR","Kitchen",0.05,"Mon","Kitchen Door"
"Door","PIR","Living",0.233,"Mon","Living Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Kitchen",0.067,"Mon","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Mon","Kitchen Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Seat","Pressure","Living",51.267,"Mon","Living Seat"
"Door","PIR","Living",0.083,"Mon","Living Door"
"Door","PIR","Kitchen",0.117,"Mon","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Mon","Kitchen Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Bedroom",0.083,"Mon","Bedroom Door"
"Door","PIR","Bedroom",0.017,"Mon","Bedroom Door"
"Door","PIR","Living",0.067,"Mon","Living Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Kitchen",0.067,"Mon","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Mon","Kitchen Door"
"Door","PIR","Bedroom",0.033,"Mon","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Mon","Bedroom Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Kitchen",0.083,"Mon","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Mon","Kitchen Door"
"Basin","PIR","Bathroom",1.367,"Mon","Bathroom Basin"
"Basin","PIR","Bathroom",2.633,"Mon","Bathroom Basin"
"Shower","PIR","Bathroom",6.933,"Mon","Bathroom Shower"
"Toilet","Flush","Bathroom",0.9,"Mon","Bathroom Toilet"
"Basin","PIR","Bathroom",0.317,"Mon","Bathroom Basin"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Basin","PIR","Bathroom",3.75,"Mon","Bathroom Basin"
"Door","PIR","Bedroom",0.083,"Mon","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Mon","Bedroom Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Living",0.033,"Mon","Living Door"
"Door","PIR","Kitchen",0.067,"Mon","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Mon","Kitchen Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Seat","Pressure","Living",103.417,"Mon","Living Seat"
"Door","PIR","Living",0.033,"Mon","Living Door"
"Basin","PIR","Bathroom",0.383,"Mon","Bathroom Basin"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Living",0.033,"Mon","Living Door"
"Toilet","Flush","Bathroom",1.067,"Mon","Bathroom Toilet"
"Basin","PIR","Bathroom",0.017,"Mon","Bathroom Basin"
"Door","PIR","Bedroom",0.167,"Mon","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Mon","Bedroom Door"
"Maindoor","Magnetic","Entrance",0.05,"Mon","Entrance Maindoor"
"Maindoor","Magnetic","Entrance",0.067,"Mon","Entrance Maindoor"
"Door","PIR","Living",0.033,"Mon","Living Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Toilet","Flush","Bathroom",0.667,"Mon","Bathroom Toilet"
"Door","PIR","Living",0.033,"Mon","Living Door"
"Door","PIR","Living",0.033,"Mon","Living Door"
"Door","PIR","Kitchen",0.067,"Mon","Kitchen Door"
"Fridge","Magnetic","Kitchen",0.033,"Mon","Kitchen Fridge"
"Microwave","Electric","Kitchen",1.9,"Mon","Kitchen Microwave"
"Microwave","Electric","Kitchen",2.317,"Mon","Kitchen Microwave"
"Fridge","Magnetic","Kitchen",0.033,"Mon","Kitchen Fridge"
"Door","PIR","Kitchen",0.033,"Mon","Kitchen Door"
"Door","PIR","Living",0.033,"Mon","Living Door"
"Seat","Pressure","Living",213,"Mon","Living Seat"
"Door","PIR","Living",0.067,"Mon","Living Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Kitchen",0.067,"Mon","Kitchen Door"
"Door","PIR","Kitchen",0.067,"Mon","Kitchen Door"
"Door","PIR","Living",0.1,"Mon","Living Door"
"Seat","Pressure","Living",92.65,"Mon","Living Seat"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Living",0.067,"Mon","Living Door"
"Door","PIR","Kitchen",0.05,"Mon","Kitchen Door"
"Microwave","Electric","Kitchen",2,"Mon","Kitchen Microwave"
"Fridge","Magnetic","Kitchen",0.183,"Mon","Kitchen Fridge"
"Cupboard","Magnetic","Kitchen",0.1,"Mon","Kitchen Cupboard"
"Door","PIR","Kitchen",0.033,"Mon","Kitchen Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Living",0.133,"Mon","Living Door"
"Door","PIR","Kitchen",0.083,"Mon","Kitchen Door"
"Door","PIR","Kitchen",0.05,"Mon","Kitchen Door"
"Door","PIR","Living",0.033,"Mon","Living Door"
"Door","PIR","Living",0.067,"Mon","Living Door"
"Basin","PIR","Bathroom",4.75,"Mon","Bathroom Basin"
"Door","PIR","Living",0.05,"Mon","Living Door"
"Door","PIR","Living",0.05,"Mon","Living Door"
